id,project_id,task_name,progress_percent,created_at,updated_at,project.name
45,2,シードタスク 1,100,2025-09-29T06:29:54.604261+00:00,2025-09-29T06:29:54.604261+00:00,サプライチェーン可視化 1
46,2,シードタスク 2,20,2025-09-29T06:29:54.604261+00:00,2025-09-29T06:29:54.604261+00:00,サプライチェーン可視化 1
47,2,シードタスク 3,41,2025-09-29T06:29:54.604261+00:00,2025-09-29T06:29:54.604261+00:00,サプライチェーン可視化 1
48,2,シードタスク 4,90,2025-09-29T06:29:54.604261+00:00,2025-09-29T06:29:54.604261+00:00,サプライチェーン可視化 1
49,2,シードタスク 5,100,2025-09-29T06:29:54.604261+00:00,2025-09-29T06:29:54.604261+00:00,サプライチェーン可視化 1
50,2,シードタスク 6,20,2025-09-29T06:29:54.604261+00:00,2025-09-29T06:29:54.604261+00:00,サプライチェーン可視化 1
51,2,シードタスク 7,80,2025-09-29T06:29:54.604261+00:00,2025-09-29T06:29:54.604261+00:00,サプライチェーン可視化 1
52,2,シードタスク 8,17,2025-09-29T06:29:54.604261+00:00,2025-09-29T06:29:54.604261+00:00,サプライチェーン可視化 1
53,2,シードタスク 9,72,2025-09-29T06:29:54.604261+00:00,2025-09-29T06:29:54.604261+00:00,サプライチェーン可視化 1
54,2,シードタスク 10,29,2025-09-29T06:29:54.604261+00:00,2025-09-29T06:29:54.604261+00:00,サプライチェーン可視化 1
